iter	Passed	Remaining
0	77	76971
1	125	62481
2	215	71535
3	392	97734
4	604	120315
5	690	114357
6	770	109312
7	853	105837
8	930	102409
9	1018	100787
10	1110	99877
11	1173	96585
12	1232	93557
13	1324	93280
14	1369	89938
15	1456	89604
16	1490	86171
17	1701	92849
18	1896	97924
19	1982	97134
20	2057	95921
21	2142	95247
22	2223	94458
23	2312	94061
24	2388	93136
25	2505	93858
26	2644	95289
27	2735	94952
28	2807	94010
29	3151	101901
30	3399	106269
31	3429	103742
32	3517	103085
33	3599	102267
34	3679	101451
35	3710	99364
36	3791	98691
37	3866	97874
38	3948	97288
39	4020	96483
40	4087	95609
41	4134	94308
42	4173	92883
43	4258	92532
44	4342	92159
45	4441	92104
46	4580	92874
47	4799	95191
48	4883	94782
49	4913	93355
50	4979	92663
51	5068	92397
52	5118	91462
53	5198	91075
54	5288	90864
55	5365	90439
56	5443	90048
57	5531	89846
58	5622	89671
59	5700	89307
60	5917	91084
61	6063	91736
62	6140	91332
63	6225	91046
64	6304	90685
65	6393	90474
66	6451	89838
67	6522	89399
68	6590	88924
69	6626	88033
70	6703	87717
71	6780	87391
72	6868	87218
73	6943	86889
74	7018	86562
75	7167	87142
76	7441	89199
77	7501	88667
78	7593	88527
79	7703	88595
80	7794	88432
81	7881	88230
82	7918	87486
83	7953	86729
84	8027	86417
85	8108	86172
86	8186	85913
87	8267	85679
88	8453	86534
89	8669	87660
90	8782	87726
91	8855	87399
92	8911	86914
93	8976	86521
94	8992	85662
95	9066	85378
96	9136	85057
97	9205	84726
98	9279	84455
99	9349	84148
100	9419	83839
101	9502	83659
102	9577	83412
103	9651	83155
104	9732	82954
105	10167	85754
106	10334	86251
107	10413	86004
108	10504	85863
109	10588	85673
110	10663	85405
111	10744	85190
112	10835	85053
113	10931	84957
114	11022	84824
115	11103	84614
116	11196	84497
117	11275	84277
118	11455	84808
119	11754	86201
120	11840	86011
121	11908	85702
122	11994	85524
123	12086	85384
124	12183	85281
125	12268	85099
126	12344	84857
127	12430	84684
128	12520	84535
129	12612	84408
130	12656	83955
131	12737	83758
132	13014	84838
133	13194	85273
134	13293	85180
135	13394	85091
136	13465	84822
137	13555	84673
138	13640	84493
139	13730	84347
140	13809	84127
141	13885	83899
142	13964	83687
143	14023	83359
144	14112	83217
145	14303	83664
146	14532	84326
147	14627	84204
148	14718	84060
149	14809	83918
150	14899	83771
151	14985	83605
152	15060	83373
153	15134	83143
154	15212	82932
155	15309	82827
156	15387	82621
157	15456	82368
158	15549	82245
159	15714	82499
160	15945	83097
161	16034	82945
162	16101	82681
163	16185	82506
164	16257	82274
165	16344	82115
166	16481	82208
167	16594	82184
168	16663	81935
169	16742	81742
170	16825	81568
171	16858	81157
172	17258	82499
173	17457	82873
174	17536	82670
175	17621	82501
176	17716	82377
177	17802	82212
178	17893	82068
179	17978	81902
180	18067	81751
181	18161	81628
182	18259	81520
183	18341	81340
184	18394	81033
185	18473	80844
186	18790	81692
187	18872	81515
188	18949	81312
189	18976	80899
190	19049	80684
191	19124	80480
192	19187	80230
193	19265	80042
194	19343	79853
195	19409	79616
196	19471	79368
197	19535	79126
198	19589	78851
199	19640	78561
200	19698	78305
201	19777	78132
202	19959	78361
203	20189	78778
204	20277	78638
205	20372	78524
206	20547	78716
207	20787	79151
208	20893	79076
209	20971	78893
210	21043	78690
211	21114	78482
212	21204	78347
213	21514	79021
214	21577	78784
215	21613	78449
216	21667	78183
217	21728	77944
218	21787	77700
219	21859	77502
220	21941	77339
221	22018	77164
222	22096	76990
223	22176	76824
224	22250	76641
225	22314	76421
226	22376	76198
227	22409	75878
228	22483	75699
229	22659	75861
230	23262	77440
231	23371	77368
232	23436	77150
233	23508	76956
234	23579	76758
235	23651	76566
236	23725	76383
237	23798	76194
238	23878	76032
239	23934	75792
240	23986	75541
241	24017	75228
242	24106	75096
243	24187	74940
244	24264	74775
245	24499	75093
246	24696	75288
247	24775	75124
248	24861	74984
249	24936	74809
250	25007	74624
251	25084	74457
252	25159	74285
253	25204	74025
254	25276	73846
255	25341	73649
256	25410	73462
257	25487	73299
258	25561	73131
259	25630	72949
260	25767	72957
261	26134	73616
262	26279	73642
263	26411	73632
264	26493	73482
265	26587	73364
266	26683	73253
267	26761	73094
268	26869	73018
269	26960	72893
270	27063	72802
271	27149	72665
272	27249	72565
273	27551	73002
274	27700	73029
275	27783	72881
276	27851	72694
277	27922	72518
278	27999	72357
279	28066	72170
280	28147	72022
281	28236	71893
282	28315	71738
283	28378	71544
284	28470	71425
285	28558	71296
286	28639	71150
287	28867	71367
288	29089	71567
289	29189	71465
290	29274	71325
291	29371	71215
292	29450	71063
293	29528	70908
294	29604	70750
295	29679	70589
296	29763	70450
297	29837	70289
298	29911	70127
299	29984	69964
300	30104	69910
301	30403	70270
302	30493	70144
303	30587	70029
304	30661	69867
305	30728	69691
306	30793	69509
307	30869	69356
308	30956	69226
309	31038	69084
310	31119	68943
311	31211	68824
312	31289	68677
313	31362	68518
314	31463	68420
315	31839	68918
316	31929	68794
317	32009	68648
318	32099	68526
319	32176	68376
320	32256	68230
321	32392	68205
322	32513	68148
323	32587	67990
324	32654	67821
325	32735	67679
326	32810	67527
327	32893	67392
328	33149	67608
329	33234	67476
330	33318	67341
331	33390	67183
332	33459	67020
333	33542	66884
334	33617	66732
335	33688	66575
336	33753	66405
337	33817	66234
338	33886	66073
339	33959	65921
340	34032	65770
341	34109	65625
342	34202	65513
343	34499	65790
344	34587	65665
345	34669	65531
346	34753	65400
347	34846	65286
348	34935	65165
349	35013	65025
350	35082	64867
351	35160	64727
352	35246	64601
353	35330	64473
354	35420	64355
355	35497	64215
356	35680	64264
357	36106	64750
358	36181	64602
359	36266	64474
360	36353	64348
361	36420	64189
362	36489	64033
363	36562	63884
364	36640	63744
365	36721	63610
366	36807	63486
367	36882	63341
368	36947	63181
369	37018	63030
370	37088	62879
371	37285	62943
372	37506	63047
373	37591	62921
374	37686	62810
375	37763	62671
376	37885	62607
377	38020	62562
378	38123	62465
379	38200	62327
380	38262	62163
381	38345	62034
382	38420	61893
383	38533	61814
384	38792	61966
385	38858	61811
386	38932	61667
387	39003	61521
388	39089	61397
389	39182	61284
390	39269	61164
391	39345	61025
392	39422	60889
