iter	Logloss	Accuracy
0	0.6820085131	0.785
1	0.666410358	0.785
2	0.6499111489	0.80375
3	0.6352313805	0.805
4	0.6220343448	0.80625
5	0.6098084252	0.80625
6	0.5982054266	0.80125
7	0.5889584443	0.80375
8	0.5799367392	0.80625
9	0.5711221655	0.80875
10	0.5626857202	0.80625
11	0.5540122866	0.8075
12	0.5454904067	0.81125
13	0.5377488533	0.81125
14	0.5301681344	0.81375
15	0.5240415879	0.81375
16	0.5194503021	0.8125
17	0.5139925291	0.8125
18	0.508619675	0.81375
19	0.5025725731	0.81
20	0.4974626669	0.81375
21	0.4927518596	0.81125
22	0.4890165284	0.8125
23	0.4847326996	0.8125
24	0.4813467833	0.81
25	0.4774991874	0.80875
26	0.4741257468	0.80875
27	0.4704880647	0.80875
28	0.4665337906	0.80875
29	0.4630368917	0.81125
30	0.4602407603	0.8125
31	0.4594898347	0.81125
32	0.4567479661	0.81375
33	0.4551612843	0.8125
34	0.4534993879	0.81375
35	0.4514185175	0.8175
36	0.4495927153	0.8175
37	0.4472319349	0.8175
38	0.4459353255	0.8175
39	0.4435191766	0.8175
40	0.4427717303	0.81875
41	0.4402441406	0.81625
42	0.4389215287	0.81625
43	0.4383770112	0.81625
44	0.4369128797	0.81625
45	0.4343140827	0.8175
46	0.4327312075	0.8175
47	0.4322668231	0.82
48	0.4306297045	0.81875
49	0.4296982934	0.8175
50	0.4288519971	0.8175
51	0.4281648366	0.82
52	0.4268039095	0.82125
53	0.4256532074	0.82375
54	0.4242541204	0.8225
55	0.4204581213	0.81875
56	0.4188622376	0.82
57	0.4173418284	0.82125
58	0.4171882295	0.82125
59	0.4152646216	0.82125
60	0.4143420465	0.82
61	0.4129047017	0.82
62	0.4123497608	0.82
63	0.41099992	0.82
64	0.410178113	0.82
65	0.4093208752	0.82
66	0.4084008821	0.82
67	0.4067268614	0.82125
68	0.404571027	0.82125
69	0.4035648243	0.8225
70	0.4015247491	0.82375
71	0.4000205674	0.825
72	0.3987829871	0.82375
73	0.3975542501	0.82625
74	0.396487277	0.825
75	0.3957429282	0.82625
76	0.3953298138	0.8275
77	0.3945432827	0.82625
78	0.3940662753	0.82875
79	0.3924792903	0.83
80	0.3920282457	0.83
81	0.3913124803	0.8325
82	0.3901238129	0.8325
83	0.3887971258	0.83375
84	0.3882338809	0.835
85	0.3879887556	0.835
86	0.3870977111	0.8375
87	0.385890088	0.83625
88	0.3843228417	0.83875
89	0.3839604382	0.83875
90	0.3822689992	0.84
91	0.3820182821	0.84
92	0.3820139051	0.84
93	0.3812756784	0.8425
94	0.3812730735	0.8425
95	0.3802685284	0.8425
96	0.3795917465	0.84375
97	0.3783368139	0.845
98	0.3781506275	0.845
99	0.3777043434	0.845
100	0.3772255151	0.845
101	0.3771603683	0.845
102	0.3766608361	0.84625
103	0.3763931975	0.84625
104	0.3758043903	0.84625
105	0.3753477157	0.8475
106	0.3747573978	0.8475
107	0.3741296418	0.8475
108	0.3735345706	0.8475
109	0.3732450861	0.85
110	0.3724485453	0.85125
111	0.3724479467	0.85125
112	0.3711958448	0.85125
113	0.3704773345	0.85125
114	0.3695629282	0.85125
115	0.3691107368	0.85125
116	0.3691104582	0.85125
117	0.3679383961	0.85125
118	0.3671126185	0.85125
119	0.3667550271	0.85125
120	0.36658303	0.85125
121	0.3658490032	0.85125
122	0.3657015648	0.85125
123	0.3656665214	0.8525
