iter	Logloss	Accuracy
0	0.6873774975	0.8087739033
1	0.6819328895	0.8098987627
2	0.676815448	0.8087739033
3	0.671455911	0.8143982002
4	0.6663390863	0.8143982002
5	0.6608614986	0.8076490439
6	0.6557134398	0.8076490439
7	0.650567331	0.8132733408
8	0.6460145409	0.8076490439
9	0.6414120369	0.8098987627
10	0.637012308	0.8132733408
11	0.6323069376	0.816647919
12	0.6273831112	0.8211473566
13	0.6246656541	0.8177727784
14	0.62037431	0.8188976378
15	0.6163062788	0.8188976378
16	0.6125970554	0.8188976378
17	0.608595966	0.8188976378
18	0.6048135964	0.8188976378
19	0.601502964	0.8177727784
20	0.5977672118	0.8177727784
21	0.5939860371	0.8188976378
22	0.5902439205	0.816647919
23	0.5866011681	0.8200224972
24	0.5834190491	0.8188976378
25	0.58048776	0.8200224972
26	0.5774508887	0.8200224972
27	0.5747693571	0.8177727784
28	0.5715293935	0.8177727784
29	0.5686821338	0.816647919
30	0.5655161042	0.8188976378
31	0.5623082937	0.8200224972
32	0.5591925797	0.8200224972
33	0.556537831	0.8188976378
34	0.5535715679	0.8200224972
35	0.5511750109	0.8200224972
36	0.5485307122	0.8188976378
37	0.5452532486	0.8177727784
38	0.5426850041	0.8177727784
39	0.5400425305	0.8188976378
40	0.5379303922	0.8188976378
41	0.5355289988	0.8188976378
42	0.5336402769	0.8188976378
43	0.5316222615	0.8188976378
44	0.5296992448	0.8188976378
45	0.5275049033	0.8188976378
46	0.5249200518	0.8177727784
47	0.5236609971	0.8177727784
48	0.5215016964	0.8177727784
49	0.5194520603	0.8188976378
50	0.5178048341	0.8177727784
51	0.5160100294	0.8177727784
52	0.5139670378	0.8188976378
53	0.5119822518	0.8177727784
54	0.5099767689	0.8177727784
55	0.5082907047	0.8177727784
56	0.5073275786	0.816647919
57	0.505095766	0.8177727784
58	0.5034797762	0.8177727784
59	0.5020558878	0.8177727784
60	0.5011799221	0.8177727784
61	0.499582838	0.8200224972
62	0.4980944561	0.8200224972
63	0.4964690831	0.8200224972
64	0.4956702133	0.8211473566
65	0.4938614465	0.8211473566
66	0.4922260448	0.8211473566
67	0.4908095462	0.8211473566
68	0.4894905265	0.8200224972
69	0.4877050017	0.8211473566
70	0.4864949341	0.8211473566
71	0.4849901301	0.8177727784
72	0.4837623415	0.8177727784
73	0.4824907289	0.816647919
74	0.4811733746	0.816647919
75	0.4798941556	0.816647919
76	0.4784706203	0.8177727784
77	0.4778868126	0.8177727784
78	0.476767254	0.816647919
79	0.4757653198	0.8155230596
80	0.4746173248	0.8155230596
81	0.4737429727	0.816647919
82	0.4725802496	0.816647919
83	0.4714587478	0.8177727784
84	0.4701919914	0.816647919
85	0.4687740851	0.8155230596
86	0.4675540375	0.8155230596
87	0.4663726591	0.816647919
88	0.4656342383	0.816647919
89	0.4645238754	0.8155230596
90	0.4638276072	0.8155230596
91	0.4633491104	0.816647919
92	0.4620223581	0.8155230596
93	0.461622402	0.8155230596
94	0.4606901055	0.8143982002
95	0.4593951608	0.8177727784
96	0.4593020479	0.8155230596
97	0.4583850799	0.8143982002
98	0.4575186302	0.816647919
99	0.4565496622	0.8188976378
100	0.4559948566	0.816647919
101	0.4554465009	0.8143982002
