iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	198	224	198	340	198	224	340
1	198	226	198	340	198	226	340
2	209	258	209	340	209	258	340
3	198	224	198	340	198	224	340
4	198	224	198	340	198	224	340
5	214	264	214	340	214	264	340
6	209	252	209	340	209	252	340
7	212	254	212	340	212	254	340
8	209	251	209	340	209	251	340
9	217	267	217	340	217	267	340
10	217	267	217	340	217	267	340
11	219	269	219	340	219	269	340
12	212	254	212	340	212	254	340
13	220	271	220	340	220	271	340
14	217	267	217	340	217	267	340
15	220	271	220	340	220	271	340
16	220	271	220	340	220	271	340
17	220	271	220	340	220	271	340
18	220	271	220	340	220	271	340
19	220	271	220	340	220	271	340
20	220	271	220	340	220	271	340
21	220	271	220	340	220	271	340
22	220	271	220	340	220	271	340
23	220	271	220	340	220	271	340
24	220	271	220	340	220	271	340
25	220	271	220	340	220	271	340
26	223	276	223	340	223	276	340
27	223	276	223	340	223	276	340
28	223	276	223	340	223	276	340
29	223	276	223	340	223	276	340
30	223	276	223	340	223	276	340
31	223	276	223	340	223	276	340
32	223	276	223	340	223	276	340
33	223	276	223	340	223	276	340
34	223	276	223	340	223	276	340
35	223	276	223	340	223	276	340
36	223	276	223	340	223	276	340
37	218	263	218	340	218	263	340
38	218	263	218	340	218	263	340
39	218	263	218	340	218	263	340
40	218	263	218	340	218	263	340
41	218	263	218	340	218	263	340
42	218	263	218	340	218	263	340
43	218	263	218	340	218	263	340
44	218	263	218	340	218	263	340
45	218	263	218	340	218	263	340
46	215	258	215	340	215	258	340
47	218	263	218	340	218	263	340
48	218	263	218	340	218	263	340
49	218	263	218	340	218	263	340
50	215	258	215	340	215	258	340
51	215	258	215	340	215	258	340
52	215	258	215	340	215	258	340
53	215	258	215	340	215	258	340
54	212	254	212	340	212	254	340
55	212	254	212	340	212	254	340
56	215	258	215	340	215	258	340
57	212	254	212	340	212	254	340
58	212	254	212	340	212	254	340
59	212	254	212	340	212	254	340
60	212	254	212	340	212	254	340
61	212	254	212	340	212	254	340
62	212	254	212	340	212	254	340
63	212	254	212	340	212	254	340
64	212	254	212	340	212	254	340
65	212	254	212	340	212	254	340
66	212	254	212	340	212	254	340
67	212	254	212	340	212	254	340
68	212	254	212	340	212	254	340
69	212	254	212	340	212	254	340
70	212	254	212	340	212	254	340
71	212	254	212	340	212	254	340
72	212	254	212	340	212	254	340
73	212	254	212	340	212	254	340
74	212	254	212	340	212	254	340
75	212	254	212	340	212	254	340
76	212	254	212	340	212	254	340
77	212	254	212	340	212	254	340
78	212	254	212	340	212	254	340
79	212	254	212	340	212	254	340
80	212	254	212	340	212	254	340
81	212	254	212	340	212	254	340
82	212	254	212	340	212	254	340
83	212	254	212	340	212	254	340
84	212	254	212	340	212	254	340
85	212	254	212	340	212	254	340
86	212	254	212	340	212	254	340
87	212	254	212	340	212	254	340
88	212	254	212	340	212	254	340
89	212	254	212	340	212	254	340
90	212	254	212	340	212	254	340
91	212	254	212	340	212	254	340
92	212	254	212	340	212	254	340
93	212	254	212	340	212	254	340
94	212	254	212	340	212	254	340
95	212	254	212	340	212	254	340
96	212	254	212	340	212	254	340
97	212	254	212	340	212	254	340
98	212	254	212	340	212	254	340
99	212	254	212	340	212	254	340
100	212	254	212	340	212	254	340
101	211	246	211	340	211	246	340
102	212	250	212	340	212	250	340
103	210	246	210	340	210	246	340
104	212	249	212	340	212	249	340
105	212	249	212	340	212	249	340
106	213	250	213	340	213	250	340
107	213	250	213	340	213	250	340
108	216	253	216	340	216	253	340
109	217	254	217	340	217	254	340
110	215	250	215	340	215	250	340
111	215	250	215	340	215	250	340
112	212	242	212	340	212	242	340
113	213	242	213	340	213	242	340
114	213	243	213	340	213	243	340
115	213	242	213	340	213	242	340
116	214	243	214	340	214	243	340
117	217	246	217	340	217	246	340
118	218	248	218	340	218	248	340
119	219	250	219	340	219	250	340
120	219	250	219	340	219	250	340
121	218	248	218	340	218	248	340
122	218	248	218	340	218	248	340
123	218	248	218	340	218	248	340
124	218	248	218	340	218	248	340
125	218	248	218	340	218	248	340
126	219	249	219	340	219	249	340
127	219	249	219	340	219	249	340
128	220	251	220	340	220	251	340
129	220	250	220	340	220	250	340
130	220	250	220	340	220	250	340
131	219	249	219	340	219	249	340
132	219	249	219	340	219	249	340
133	219	249	219	340	219	249	340
134	220	250	220	340	220	250	340
135	220	250	220	340	220	250	340
136	220	250	220	340	220	250	340
137	220	250	220	340	220	250	340
138	220	250	220	340	220	250	340
139	220	250	220	340	220	250	340
140	220	250	220	340	220	250	340
141	220	250	220	340	220	250	340
142	222	252	222	340	222	252	340
143	221	251	221	340	221	251	340
144	221	251	221	340	221	251	340
145	221	251	221	340	221	251	340
146	222	252	222	340	222	252	340
147	223	252	223	340	223	252	340
148	223	254	223	340	223	254	340
149	223	254	223	340	223	254	340
150	223	254	223	340	223	254	340
151	223	254	223	340	223	254	340
152	224	255	224	340	224	255	340
153	223	254	223	340	223	254	340
154	223	254	223	340	223	254	340
155	223	254	223	340	223	254	340
156	223	254	223	340	223	254	340
157	223	254	223	340	223	254	340
158	224	255	224	340	224	255	340
159	224	255	224	340	224	255	340
160	224	255	224	340	224	255	340
161	225	256	225	340	225	256	340
162	224	254	224	340	224	254	340
163	224	254	224	340	224	254	340
164	224	254	224	340	224	254	340
165	224	254	224	340	224	254	340
166	224	254	224	340	224	254	340
167	224	254	224	340	224	254	340
168	224	254	224	340	224	254	340
169	224	254	224	340	224	254	340
170	224	254	224	340	224	254	340
171	224	254	224	340	224	254	340
172	224	254	224	340	224	254	340
173	224	254	224	340	224	254	340
174	224	254	224	340	224	254	340
175	224	254	224	340	224	254	340
176	224	254	224	340	224	254	340
177	224	253	224	340	224	253	340
178	224	253	224	340	224	253	340
179	224	253	224	340	224	253	340
180	224	252	224	340	224	252	340
181	224	252	224	340	224	252	340
182	224	252	224	340	224	252	340
183	224	252	224	340	224	252	340
184	224	252	224	340	224	252	340
185	224	252	224	340	224	252	340
186	224	252	224	340	224	252	340
187	224	252	224	340	224	252	340
188	224	252	224	340	224	252	340
189	224	252	224	340	224	252	340
190	224	252	224	340	224	252	340
191	224	252	224	340	224	252	340
192	224	252	224	340	224	252	340
193	224	252	224	340	224	252	340
194	224	252	224	340	224	252	340
195	225	253	225	340	225	253	340
196	225	253	225	340	225	253	340
197	224	252	224	340	224	252	340
198	224	252	224	340	224	252	340
199	224	252	224	340	224	252	340
200	224	252	224	340	224	252	340
201	224	252	224	340	224	252	340
202	224	252	224	340	224	252	340
203	226	254	226	340	226	254	340
204	226	254	226	340	226	254	340
205	226	254	226	340	226	254	340
206	226	254	226	340	226	254	340
207	226	254	226	340	226	254	340
208	227	255	227	340	227	255	340
209	226	254	226	340	226	254	340
210	226	254	226	340	226	254	340
211	227	255	227	340	227	255	340
212	227	255	227	340	227	255	340
213	227	255	227	340	227	255	340
214	227	255	227	340	227	255	340
215	228	256	228	340	228	256	340
216	229	257	229	340	229	257	340
217	228	256	228	340	228	256	340
218	228	256	228	340	228	256	340
219	229	257	229	340	229	257	340
220	229	257	229	340	229	257	340
221	229	257	229	340	229	257	340
222	229	257	229	340	229	257	340
223	229	257	229	340	229	257	340
224	229	257	229	340	229	257	340
225	229	257	229	340	229	257	340
226	229	257	229	340	229	257	340
227	229	257	229	340	229	257	340
228	229	257	229	340	229	257	340
229	229	257	229	340	229	257	340
230	229	257	229	340	229	257	340
231	229	257	229	340	229	257	340
232	229	257	229	340	229	257	340
233	229	256	229	340	229	256	340
234	230	257	230	340	230	257	340
235	230	257	230	340	230	257	340
236	230	257	230	340	230	257	340
237	230	257	230	340	230	257	340
238	230	257	230	340	230	257	340
239	230	257	230	340	230	257	340
240	231	258	231	340	231	258	340
241	231	258	231	340	231	258	340
242	231	258	231	340	231	258	340
243	230	257	230	340	230	257	340
244	230	257	230	340	230	257	340
245	230	257	230	340	230	257	340
