iter	Passed	Remaining
0	222	222670
1	303	151415
2	355	118267
3	428	106594
4	489	97366
5	563	93409
6	640	90859
7	717	89002
8	776	85459
9	847	83915
10	910	81858
11	986	81202
12	1055	80162
13	1095	77139
14	1166	76600
15	1242	76391
16	1301	75280
17	1372	74889
18	1452	75013
19	1492	73130
20	1562	72855
21	1643	73041
22	1715	72869
23	1787	72694
24	1835	71582
25	1894	70956
26	1968	70956
27	2040	70835
28	2111	70690
29	2189	70782
30	2260	70665
31	2333	70596
32	2415	70780
33	2493	70855
34	2562	70654
35	2622	70219
36	2698	70226
37	2765	70017
38	2838	69937
39	2910	69846
40	2985	69829
41	3060	69805
42	3099	68988
43	3152	68500
44	3225	68452
45	3307	68588
46	3378	68507
47	3420	67830
48	3496	67869
49	3571	67857
50	3621	67385
51	3697	67411
52	3766	67299
53	3839	67266
54	3916	67299
55	3974	66994
56	4000	66188
57	4069	66088
58	4141	66051
59	4191	65669
60	4217	64928
61	4287	64863
62	4360	64849
63	4433	64836
64	4463	64209
65	4532	64139
66	4603	64101
67	4676	64099
68	4746	64043
69	4818	64022
70	4880	63855
71	4948	63785
72	5019	63743
73	5092	63729
74	5162	63671
75	5232	63611
76	5307	63623
77	5340	63125
78	5400	62964
79	5471	62922
80	5545	62915
81	5619	62915
82	5702	62997
83	5774	62970
84	5852	62999
85	5923	62958
86	6001	62982
87	6073	62946
88	6145	62904
89	6217	62864
90	6261	62541
91	6310	62284
92	6379	62221
93	6409	61776
94	6480	61732
95	6552	61701
96	6576	61222
97	6646	61175
98	6732	61276
99	6802	61223
100	6876	61204
101	6916	60888
102	7003	60995
103	7071	60924
104	7143	60888
105	7218	60883
106	7288	60825
107	7359	60785
108	7437	60793
109	7491	60609
110	7560	60552
111	7589	60176
112	7665	60173
113	7749	60231
114	7819	60179
115	7891	60139
116	7972	60166
117	8044	60128
118	8126	60163
119	8198	60119
120	8267	60060
121	8341	60031
122	8382	59768
123	8451	59705
124	8527	59689
125	8604	59682
126	8673	59622
127	8756	59652
128	8831	59630
129	8910	59628
130	8979	59566
131	9049	59508
132	9165	59748
133	9299	60096
134	9372	60052
135	9474	60191
136	9547	60144
137	9577	59825
138	9655	59809
139	9768	60007
140	9850	60011
141	9928	59991
142	10008	59980
143	10080	59923
144	10150	59854
145	10220	59783
146	10293	59728
147	10372	59711
148	10445	59655
149	10474	59354
150	10548	59306
151	10618	59239
152	10690	59181
153	10791	59280
154	10871	59266
155	10946	59220
156	10975	58932
157	11055	58915
158	11128	58860
159	11198	58791
160	11274	58753
161	11352	58726
162	11427	58681
163	11499	58620
164	11576	58583
165	11644	58504
166	11721	58469
167	11794	58408
168	11877	58403
169	11948	58336
170	12026	58302
171	12094	58221
172	12163	58145
173	12238	58098
174	12307	58019
175	12389	58007
176	12462	57948
177	12531	57871
178	12560	57607
179	12629	57534
180	12705	57490
181	12773	57410
182	12870	57458
183	12941	57391
184	13011	57319
185	13082	57255
186	13120	57044
187	13191	56976
188	13229	56768
189	13300	56703
190	13378	56666
191	13453	56616
192	13530	56575
193	13602	56512
194	13672	56443
195	13752	56414
196	13822	56343
197	13913	56357
198	13993	56327
199	14070	56283
200	14142	56218
201	14218	56168
202	14270	56029
203	14362	56042
204	14437	55990
205	14515	55947
206	14603	55946
207	14713	56022
208	14795	55997
209	14863	55914
210	14938	55860
211	15006	55780
212	15075	55700
213	15145	55628
214	15216	55558
215	15288	55489
216	15371	55464
217	15432	55359
218	15503	55287
219	15580	55240
220	15659	55198
221	15732	55133
222	15784	54996
223	15863	54957
224	15954	54954
225	16032	54909
226	16108	54852
227	16179	54782
228	16254	54727
229	16292	54544
230	16361	54468
231	16432	54396
232	16503	54328
233	16574	54256
234	16661	54238
235	16692	54037
236	16763	53969
237	16836	53905
238	16907	53835
239	17005	53850
240	17077	53783
241	17144	53700
242	17214	53628
243	17293	53582
244	17367	53518
245	17441	53458
246	17519	53409
247	17590	53338
248	17672	53300
249	17756	53270
250	17850	53268
251	17922	53197
252	18016	53196
253	18084	53114
254	18160	53058
255	18234	52994
256	18310	52937
257	18387	52882
258	18470	52843
259	18517	52702
260	18592	52641
261	18663	52572
262	18732	52495
263	18802	52420
264	18875	52353
265	18942	52269
266	19040	52273
267	19111	52200
268	19182	52128
269	19253	52055
270	19329	51995
271	19398	51920
272	19471	51853
273	19541	51778
274	19570	51594
275	19638	51516
276	19709	51442
277	19791	51401
278	19863	51331
279	19936	51264
280	20008	51196
281	20103	51186
282	20177	51119
283	20250	51053
284	20322	50984
285	20392	50909
286	20473	50862
287	20547	50798
288	20617	50722
289	20688	50650
290	20758	50575
291	20828	50500
292	20901	50433
293	20970	50358
294	21039	50280
295	21142	50285
296	21211	50207
297	21287	50145
298	21367	50094
299	21438	50024
300	21507	49945
301	21583	49884
302	21654	49811
303	21727	49743
304	21800	49677
305	21871	49604
306	21942	49532
307	22015	49462
308	22086	49390
309	22191	49393
310	22260	49317
311	22343	49270
312	22401	49168
313	22471	49093
314	22545	49027
315	22617	48957
316	22697	48902
317	22779	48854
318	22815	48707
319	22896	48655
320	22969	48587
321	23043	48520
322	23090	48397
323	23158	48318
324	23267	48325
325	23345	48267
326	23419	48199
327	23457	48058
328	23527	47983
329	23601	47918
330	23673	47847
331	23748	47783
332	23825	47722
333	23900	47658
334	23981	47604
335	24055	47537
336	24130	47474
337	24250	47496
338	24339	47457
339	24415	47395
340	24445	47242
341	24515	47168
342	24555	47034
343	24597	46906
344	24665	46828
345	24716	46719
346	24789	46650
347	24861	46580
348	24937	46516
349	25007	46442
350	25076	46365
351	25149	46298
352	25181	46154
353	25255	46088
354	25341	46042
355	25411	45969
356	25484	45901
357	25560	45836
358	25634	45771
359	25705	45698
360	25733	45550
361	25802	45474
362	25872	45400
363	25942	45328
364	26021	45270
365	26100	45213
366	26175	45146
367	26257	45094
368	26380	45111
369	26464	45061
370	26536	44990
371	26563	44844
372	26643	44786
373	26689	44672
374	26762	44604
375	26832	44530
376	26904	44460
377	26978	44392
378	27053	44328
379	27128	44263
380	27200	44191
381	27274	44125
382	27347	44055
383	27454	44041
384	27530	43977
385	27600	43903
386	27674	43835
387	27754	43777
388	27828	43710
389	27857	43571
390	27928	43499
391	28000	43430
392	28071	43357
393	28143	43286
394	28216	43217
395	28298	43162
396	28374	43097
397	28487	43088
398	28557	43014
399	28627	42941
400	28656	42805
401	28727	42733
402	28795	42657
403	28865	42584
404	28937	42512
405	29008	42441
406	29079	42369
407	29154	42302
408	29232	42240
409	29305	42170
410	29386	42113
411	29459	42043
412	29567	42024
413	29650	41969
414	29722	41897
415	29793	41825
416	29867	41756
417	29935	41680
418	30008	41610
419	30080	41540
420	30158	41476
421	30235	41412
422	30305	41338
423	30381	41272
424	30455	41204
425	30524	41129
426	30642	41119
427	30718	41053
428	30792	40984
429	30841	40882
430	30913	40810
431	30943	40684
432	31012	40609
433	31083	40537
434	31163	40476
435	31232	40401
436	31304	40330
437	31377	40260
438	31418	40149
439	31487	40074
440	31557	40002
441	31676	39989
442	31715	39877
443	31789	39808
444	31861	39737
445	31930	39662
446	31999	39588
447	32030	39465
448	32107	39401
449	32178	39329
450	32249	39256
451	32317	39181
452	32388	39109
453	32447	39023
454	32517	38949
455	32597	38888
456	32680	38830
457	32715	38715
458	32793	38652
459	32869	38586
460	32966	38544
461	33048	38485
462	33090	38379
463	33193	38343
464	33266	38274
465	33305	38165
466	33380	38098
467	33452	38027
468	33528	37960
469	33596	37885
470	33689	37837
471	33780	37788
472	33850	37714
473	33924	37645
474	33991	37570
475	34021	37451
476	34087	37374
477	34157	37301
478	34241	37243
479	34323	37183
480	34394	37112
481	34474	37048
482	34547	36979
483	34623	36912
484	34694	36840
485	34816	36822
486	34885	36748
487	34968	36687
488	35049	36626
489	35133	36567
490	35205	36496
491	35279	36427
492	35339	36342
493	35377	36236
494	35447	36163
495	35514	36087
496	35589	36018
497	35658	35945
498	35730	35873
499	35800	35800
500	35918	35774
501	35989	35703
502	36058	35627
503	36130	35557
504	36200	35483
505	36269	35408
506	36337	35333
507	36408	35262
508	36482	35192
509	36554	35121
510	36627	35050
511	36697	34977
512	36767	34904
513	36840	34833
514	36963	34810
515	37038	34741
516	37112	34671
517	37185	34601
518	37255	34527
519	37327	34455
520	37396	34381
521	37473	34314
522	37548	34245
523	37629	34182
524	37702	34112
525	37779	34044
526	37853	33974
527	37931	33908
528	38050	33878
529	38126	33810
530	38201	33740
531	38241	33640
532	38311	33567
533	38384	33496
534	38455	33424
535	38505	33333
536	38577	33261
537	38647	33188
538	38724	33120
539	38795	33047
540	38825	32940
541	38896	32868
542	38969	32797
543	39063	32744
544	39145	32681
545	39221	32612
546	39290	32538
547	39330	32440
548	39359	32333
549	39428	32259
550	39503	32190
551	39587	32129
552	39659	32057
553	39732	31986
554	39804	31915
555	39843	31817
556	39925	31754
557	39998	31683
558	40075	31616
559	40196	31583
560	40270	31512
561	40346	31444
562	40397	31356
563	40470	31285
564	40539	31212
565	40579	31115
566	40652	31045
567	40728	30976
568	40802	30906
569	40874	30834
570	40951	30767
571	41024	30696
572	41075	30609
573	41144	30536
574	41263	30499
575	41340	30431
576	41410	30357
577	41486	30289
578	41559	30218
579	41604	30127
580	41643	30032
581	41704	29952
582	41778	29882
583	41806	29780
584	41877	29707
585	41952	29638
586	42034	29574
587	42105	29502
588	42178	29431
589	42315	29405
590	42388	29334
591	42459	29262
592	42537	29195
593	42610	29124
594	42681	29051
595	42759	28984
596	42833	28914
597	42907	28844
598	42977	28771
599	43056	28704
600	43131	28634
601	43202	28562
602	43276	28491
603	43406	28458
604	43480	28388
605	43555	28318
606	43603	28231
607	43679	28161
608	43848	28152
609	43934	28089
610	44000	28013
611	44080	27946
612	44148	27872
613	44205	27790
614	44269	27713
615	44338	27639
616	44702	27749
617	44786	27683
618	44860	27612
619	44936	27541
620	45015	27473
621	45108	27412
622	45191	27346
623	45267	27276
624	45365	27219
625	45439	27147
626	45511	27074
627	45588	27004
628	45660	26931
629	45804	26900
630	45878	26828
631	45951	26756
632	46026	26685
633	46110	26619
634	46188	26549
635	46263	26477
636	46335	26404
637	46408	26332
638	46478	26257
639	46550	26184
640	46625	26113
641	46699	26041
642	46778	25971
643	46925	25940
644	46958	25845
645	47042	25778
646	47131	25714
647	47206	25642
648	47280	25570
649	47358	25500
650	47435	25430
651	47510	25358
652	47582	25285
653	47664	25217
654	47749	25150
655	47824	25078
656	47894	25004
657	48043	24970
658	48092	24885
659	48161	24810
660	48232	24736
661	48262	24641
662	48332	24567
663	48403	24493
664	48480	24422
665	48557	24351
666	48634	24280
667	48720	24214
668	48801	24145
669	48885	24077
670	48970	24010
671	49134	23982
672	49221	23916
673	49265	23828
674	49350	23761
675	49422	23687
676	49493	23613
677	49564	23539
678	49635	23465
679	49705	23390
680	49773	23315
681	49844	23241
682	49913	23166
683	49985	23092
684	50070	23025
685	50227	22990
686	50313	22922
687	50392	22852
688	50472	22782
689	50561	22715
690	50645	22647
691	50720	22574
692	50798	22503
693	50872	22430
694	50963	22365
695	51053	22299
696	51126	22225
697	51209	22156
698	51358	22115
699	51434	22043
700	51511	21971
701	51587	21899
702	51657	21824
703	51721	21746
704	51799	21675
705	51875	21602
706	51949	21529
707	52025	21456
708	52099	21383
709	52174	21310
710	52254	21239
711	52330	21167
712	52484	21126
713	52554	21051
714	52627	20977
715	52697	20902
716	52770	20828
717	52806	20740
718	52875	20664
719	52946	20590
720	53020	20517
721	53109	20449
722	53210	20386
723	53298	20318
724	53404	20256
725	53592	20226
726	53689	20161
727	53770	20089
728	53855	20020
729	53962	19958
730	54050	19890
731	54136	19820
732	54216	19748
733	54306	19680
734	54381	19606
735	54461	19535
736	54536	19461
737	54701	19419
738	54778	19346
739	54854	19273
740	54926	19198
741	55005	19125
742	55088	19054
743	55300	19027
744	55396	18961
745	55422	18870
746	55493	18794
747	55558	18717
748	55631	18643
749	55663	18554
750	55871	18524
751	55961	18455
752	56050	18385
753	56117	18308
754	56161	18224
755	56249	18154
756	56326	18081
757	56402	18007
758	56482	17934
759	56562	17861
760	56650	17791
761	56724	17716
762	56800	17643
763	56961	17595
764	57063	17529
765	57165	17462
766	57248	17390
767	57325	17317
768	57403	17243
769	57483	17170
770	57559	17096
771	57646	17024
772	57730	16953
773	57807	16879
774	57882	16804
775	57971	16734
776	58128	16682
777	58209	16609
778	58296	16538
779	58374	16464
780	58457	16392
781	58541	16319
782	58622	16246
783	58704	16173
784	58794	16102
785	58874	16029
786	58957	15956
787	59033	15882
788	59137	15814
789	59248	15749
790	59323	15674
791	59356	15588
792	59428	15512
793	59508	15439
794	59583	15364
795	59665	15291
796	59744	15217
797	59821	15142
798	59903	15069
799	59986	14996
800	60063	14922
801	60137	14846
802	60302	14793
803	60387	14721
804	60463	14646
805	60546	14573
806	60624	14498
807	60704	14424
808	60783	14350
809	60864	14276
810	60941	14202
811	61024	14128
812	61100	14053
813	61172	13977
814	61248	13902
815	61410	13847
816	61487	13772
817	61561	13697
818	61641	13622
819	61710	13546
820	61782	13470
821	61852	13393
822	61936	13320
823	62020	13247
824	62097	13172
825	62205	13103
826	62293	13031
827	62374	12957
828	62457	12883
829	62618	12825
830	62699	12751
831	62766	12674
832	62832	12596
833	62907	12521
834	62976	12444
835	63042	12367
836	63115	12291
837	63177	12213
838	63239	12135
839	63302	12057
840	63367	11980
841	63431	11902
842	63510	11828
843	63582	11752
844	63748	11693
845	63833	11619
846	63909	11544
847	63980	11468
848	64057	11393
849	64127	11316
850	64206	11241
851	64285	11166
852	64362	11091
853	64431	11015
854	64506	10939
855	64582	10864
856	64656	10788
857	64728	10712
858	64898	10652
859	64969	10576
860	65048	10501
861	65123	10425
862	65198	10350
863	65279	10275
864	65355	10199
865	65437	10125
866	65512	10049
867	65589	9974
868	65673	9900
869	65750	9824
870	65832	9750
871	65996	9687
872	66069	9611
873	66140	9535
874	66211	9458
875	66290	9383
876	66359	9306
877	66434	9231
878	66507	9155
879	66583	9079
880	66654	9003
881	66733	8928
882	66805	8851
883	66891	8777
884	66940	8698
885	67124	8636
886	67203	8561
887	67297	8487
888	67374	8412
889	67452	8336
890	67531	8261
891	67606	8185
892	67677	8109
893	67749	8032
894	67825	7957
895	67933	7885
896	68049	7813
897	68208	7747
898	68290	7672
899	68348	7594
900	68415	7517
901	68474	7439
902	68544	7363
903	68603	7285
904	68686	7210
905	68773	7135
906	68855	7060
907	68930	6984
908	69003	6907
909	69077	6831
910	69152	6755
911	69336	6690
912	69421	6615
913	69495	6538
914	69575	6463
915	69660	6388
916	69732	6311
917	69820	6236
918	69895	6160
919	69978	6085
920	70049	6008
921	70131	5932
922	70213	5857
923	70294	5781
924	70481	5714
925	70567	5639
926	70648	5563
927	70728	5487
928	70816	5412
929	70903	5336
930	70975	5260
931	71045	5183
932	71117	5107
933	71197	5031
934	71268	4954
935	71339	4877
936	71412	4801
937	71490	4725
938	71661	4655
939	71738	4579
940	71825	4503
941	71901	4427
942	71980	4350
943	72052	4274
944	72127	4197
945	72198	4121
946	72276	4045
947	72351	3968
948	72429	3892
949	72504	3816
950	72575	3739
951	72682	3664
952	72778	3589
953	72859	3513
954	72945	3437
955	73030	3361
956	73114	3285
957	73203	3209
958	73286	3133
959	73377	3057
960	73455	2981
961	73526	2904
962	73606	2828
963	73683	2751
964	73866	2679
965	73941	2602
966	74025	2526
967	74099	2449
968	74170	2372
969	74243	2296
970	74333	2220
971	74417	2143
972	74496	2067
973	74569	1990
974	74647	1914
975	74729	1837
976	74798	1760
977	75134	1690
978	75213	1613
979	75284	1536
980	75364	1459
981	75441	1382
982	75513	1305
983	75583	1228
984	75656	1152
985	75741	1075
986	75814	998
987	75895	921
988	75969	844
989	76055	768
990	76129	691
991	76299	615
992	76371	538
993	76444	461
994	76524	384
995	76594	307
996	76684	230
997	76771	153
998	76842	76
999	76920	0
